FileName,Coordinate,x,y,Point,Status,B_T,Thickness_nm,Rs_ohm,Rs_error,rho_ohmcm,rho_error,n_cm-3,n_error,mu_cm2V-1s-1,mu_error,RH_A,RH_B,RH_mean,RH_error,RH_difference_percent,SemiconductorType
"260526 (0,0) p1.txt","{0, 0}",0,0,1,OK,0.42,350,189.4067707,0.101701162,0.006629237,3.55954E-06,1.37267E+20,7.20533E+19,6.86833943,3.60529793,0.100638492,0.117914387,0.109276439,0.057360868,15.80935065,n-type
"260526 (0,0) p2.txt","{0, 0}",0,0,2,OK,0.42,350,189.4067707,0.101701162,0.006629237,3.55954E-06,9.58762E+19,2.11696E+19,9.833443886,2.171243938,0.134915419,0.177988084,0.156451752,0.034544755,27.53095707,n-type
"260526 (0,0) p3.txt","{0, 0}",0,0,3,OK,0.42,350,189.4067707,0.101701162,0.006629237,3.55954E-06,9.17685E+19,2.57836E+19,10.27360679,2.886509461,0.153348315,0.17356132,0.163454818,0.045924769,12.36611115,n-type
"260526 (0,0) p4.txt","{0, 0}",0,0,4,OK,0.42,350,189.3270265,0.061776675,0.006626446,2.16218E-06,9.42237E+19,2.42948E+19,10.01011623,2.581027571,0.167883231,0.15050794,0.159195586,0.041047262,10.91442966,n-type
"260526 (0,1) p1.txt","{0, 1}",0,1,1,OK,0.42,350,192.2919462,0.145585351,0.006730218,5.09549E-06,4.75544E+19,1.2467E+19,19.52811772,5.119592262,0.368141234,0.262715526,0.31542838,0.082693989,33.42302545,n-type
"260526 (0,1) p2.txt","{0, 1}",0,1,2,OK,0.42,350,192.2919462,0.145585351,0.006730218,5.09549E-06,2.00751E+20,3.10572E+20,4.625878521,7.156494332,0.06527542,0.084163803,0.074719611,0.115595429,25.27901577,n-type
"260526 (0,1) p3.txt","{0, 1}",0,1,3,OK,0.42,350,192.2919462,0.145585351,0.006730218,5.09549E-06,6.48723E+19,2.39982E+19,14.3149979,5.295561834,0.26939741,0.19304927,0.23122334,0.085536508,33.01921848,n-type
"260526 (0,1) p4.txt","{0, 1}",0,1,4,OK,0.42,350,192.2919462,0.145585351,0.006730218,5.09549E-06,9.26471E+19,4.12235E+19,10.02348723,4.459971702,0.177724264,0.146084962,0.161904613,0.072039693,19.54194028,n-type
"260526 (0,-2) p1.txt","{0, -2}",0,-2,1,OK,0.42,350,72.49477541,0.006574943,0.002537317,2.30123E-07,2.74284E+20,2.01679E+19,8.980582469,0.66033548,0.05490706,0.054468552,0.054687806,0.00402115,0.801837101,n-type
"260526 (0,-2) p2.txt","{0, -2}",0,-2,2,OK,0.42,350,72.49477541,0.006574943,0.002537317,2.30123E-07,2.74774E+20,1.62516E+19,8.964562258,0.530212923,0.057985465,0.051195034,0.05459025,0.00322876,12.43890789,n-type
"260526 (0,-2) p3.txt","{0, -2}",0,-2,3,OK,0.42,350,72.49477541,0.006574943,0.002537317,2.30123E-07,2.65134E+20,2.657E+18,9.290519651,0.09310754,0.061155721,0.051994654,0.056575187,0.000566961,16.19272817,n-type
"260526 (0,-2) p4.txt","{0, -2}",0,-2,4,OK,0.42,350,72.44415251,0.008205391,0.002535545,2.87189E-07,2.35052E+20,7.2437E+18,10.48685893,0.323180676,0.070310382,0.057321168,0.063815775,0.001966641,20.35423768,n-type
"260526 (0,-4) p1.txt","{0, -4}",0,-4,1,OK,0.42,350,78.61809075,0.015966823,0.002751633,5.58839E-07,2.26911E+20,9.59781E+18,10.01000217,0.423404966,0.071835733,0.060374766,0.06610525,0.0027961,17.33745337,n-type
"260526 (0,-4) p2.txt","{0, -4}",0,-4,2,OK,0.42,350,78.61809075,0.015966823,0.002751633,5.58839E-07,2.25012E+20,7.41103E+18,10.09448403,0.332479899,0.065677991,0.067648332,0.066663161,0.002195629,2.955666694,n-type
"260526 (0,-4) p3.txt","{0, -4}",0,-4,3,OK,0.42,350,78.61809075,0.015966823,0.002751633,5.58839E-07,2.35004E+20,1.15005E+19,9.665278721,0.472998924,0.069386591,0.058270856,0.063828724,0.00312362,17.4149413,n-type
